Target ID,Title,Live Site Status,QA Result,QA Issue - Content,QA Issue - Appearence,QA Issue - Functionality,Open Access,Primary URL,Other URLs
4900,About My Vote,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.aboutmyvote.co.uk/,[]
16363,Mind: General Election 2015,,No QA issues found (OK to publish),False,False,False,True,http://www.mind.org.uk/about-us/policies-issues/in-parliament/mind-manifesto-election-2015/,[]
10066,Phil Bradley's website - Making the net easier,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.philb.com/,[]
18024,United Kingdom Literacy Association (UKLA) ,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.ukla.org/,[]
58135,"Nye and Jennie: A working class tale of life, labour and love",LIVE,"Failed, Do Not Publish",False,False,False,True,https://www.nyeandjennie.com/,[]
30450,Internet Librarian International,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.internet-librarian.com/,[]
33266,"Irish Story, The ",LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.theirishstory.com,[]
33077,Come Here to Me,LIVE,QA issues found,True,False,False,True,http://comeheretome.com/tag/1916-rising/,[]
2437,Librarians' Information Literacy Annual Conference (LILAC),LIVE,No QA issues found (OK to publish),False,False,False,True,http://lilacconference.com/,[]
2999,Art Exchange,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.artcollaboration.co.uk/,[]
2023,Manuel Vason,LIVE,QA issues found,False,False,False,True,http://www.manuelvason.com/,[]
3044,Duckie,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.duckie.co.uk/,[]
3267,"Do something creative, do science",LIVE,QA issues found,False,False,False,True,http://www.doscience.org/,[]
33111,‘Paddy Joe’ (1895-1960): a tribute to a 1916 fighter,LIVE,QA issues found,True,False,False,True,http://www.1916-rising.com/,[]
29625,Irish in Britain: Ireland Inspires Blog: Commemorating the 1916 Centenary in Britain with Irish Ambassador to Britain Dan Mulhall,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.irishinbritain.org/what-we-do/culture/ireland-inspires-blog/july-2015,[]
33371,Richmond Barracks,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.richmondbarracks.ie/,[]
29304,Slugger O'Toole: 1916 Centenary – Cherishing All the Children Equally?,LIVE,No QA issues found (OK to publish),False,False,False,True,http://sluggerotoole.com/2015/04/01/1916-centenary-cherishing-all-the-children-equally/,[]
32789,Trinity College Dublin: Decade of Commemoration,LIVE,No QA issues found (OK to publish),True,False,True,True,https://www.tcd.ie/decade-commemoration/,[]
29169,London Celtic Punks,LIVE,QA issues found,False,False,False,True,https://londoncelticpunks.wordpress.com/,[]
32781,Changed Utterly: Ireland and the Easter Rising,LIVE,No QA issues found (OK to publish),False,False,False,True,https://www.tcd.ie/Library/1916/,[]
1363,Centenary News,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.centenarynews.com/,[]
29292,BBC News: Easter Rising centenary: Water charges protesters disrupt launch,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.bbc.co.uk/news/world-europe-30034106,[]
29466,BBC News: 1916 Easter Rising: Royal family not invited to centenary commemorations,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.bbc.co.uk/news/uk-northern-ireland-33692029,[]
29291,BBC News: 1916 commemoration: Royal presence in Dublin unlikely,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.bbc.co.uk/news/world-europe-31306103,[]
33209,1916 Sackville Street Art Project ,LIVE,No QA issues found (OK to publish),False,False,False,True,http://1916sackvillestreet.com/,[]
33036,Easter Rising 1916,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.1916rising.ie/,[]
33320,Easter 1916,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.easter1916.net/,[]
33397,Irish Medals Easter Rising,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.irishmedals.org/,['http://www.irishmedals.org/the-1916-rising.html']
29626,Irish in Britain,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.irishinbritain.org/,[]
29608,Institute of Opinion: Remembering 1916 in Ireland,LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.instituteofopinion.com/2014/12/remembering-1916-in-ireland/,[]
29620,Institute of Opinion (IOO),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.instituteofopinion.com/,[]
29503,Creative Centenaries,LIVE,QA issues found,False,False,False,True,http://creativecentenaries.org/,[]
29170,Connolly Association,LIVE,QA issues found,True,False,False,True,http://www.connollyassociation.org.uk/,[]
29165,London Celtic Punks: Connolly Association Fundraiser,LIVE,No QA issues found (OK to publish),False,False,False,True,https://londoncelticpunks.wordpress.com/events/connolly-association/,[]
32954,"1916 Relatives Association, The ",LIVE,QA issues found,False,False,False,True,http://www.1916relatives.com/,[]
44719,"Scottish Government, The [Beta]",LIVE,QA issues found,False,False,False,True,https://beta.gov.scot/,"['https://beta.gov.scot/sitemap.xml', 'https://beta.gov.scot/sitemap.publications.xml', 'https://beta.gov.scot/sitemap.news.xml']"
14595,"Scottish Charity Appeals Panel, The (SCAP)",VANISHED,No QA issues found (OK to publish),False,False,False,True,http://www.scap.gov.uk/,['http://www.scap.gov.uk/sitemap/']
16705,Blue Badge Scheme in Scotland,VANISHED,No QA issues found (OK to publish),False,False,False,True,http://www.bluebadgescotland.org/,[]
14590,"Additional Support Needs Tribunals for Scotland, The (ASNTS)",VANISHED,"QA issues, but OK to publish",False,False,False,True,http://www.asntscotland.gov.uk/,['https://www.asntscotland.gov.uk/sitemap.xml']
14593,Parole Board for Scotland,LIVE,QA issues found,False,False,False,True,http://www.scottishparoleboard.gov.uk/,[]
14544,Scottish Criminal Cases Review Commission (SCCRC),LIVE,No QA issues found (OK to publish),False,False,False,True,http://www.sccrc.org.uk/home.aspx,"['http://www.sccrc.org.uk', 'http://www.sccrc.org.uk/sitemap.xml.gz']"
53904,"The Scottish Government - Talking ""Fracking"": A consultation on unconventional oil and gas",DEAD,"QA issues, but OK to publish",False,False,False,True,http://www.talkingfracking.scot,[]
16791,Take it right outside - Second-hand smoke,DEAD,No QA issues found (OK to publish),False,False,False,True,http://www.rightoutside.org/,['http://www.rightoutside.org/sitemap.xml']
33252,Local History from North Kildare,LIVE,No QA issues found (OK to publish),False,False,False,True,http://seamuscullen.net/maynooth_1916,[]
3172,Sport Scotland,LIVE,QA issues found,True,False,True,True,https://sportscotland.org.uk/,['https://sportscotland.org.uk/sitemap.xml']
31029,Còisir Ghàidhlig na Leargaidh Ghallda / Largs Gaelic Choir,LIVE,"QA issues, but OK to publish",False,False,False,True,http://largsgaelic.moonfruit.com/,['http://largsgaelic.moonfruit.com/sitemap.xml']
2995,Am Baile - Highland History and Culture,LIVE,QA issues found,True,False,False,True,http://www.ambaile.org.uk/,['http://www.ambaile.org.uk/sitemaps/ambaile-index.xml']
19897,Scottish Socialist Party on Twitter,LIVE,"QA issues, but OK to publish",False,False,False,True,https://twitter.com/The_SSP_/,[]
60151,Digital Library Futures,LIVE,QA issues found,False,False,False,True,http://elegaldeposit.org/,['http://elegaldeposit.org/sitemap.xml']
